i;date;currency;open;high;low;close;volume
27;2023-11-17 13:00:00;AAPL;189.2500;189.3300;189.0850;189.3000;690519
28;2023-11-17 12:45:00;AAPL;189.2200;189.2780;189.0600;189.2500;650891
29;2023-11-17 12:30:00;AAPL;188.9650;189.2300;188.9000;189.2100;805825
30;2023-11-17 12:15:00;AAPL;189.4100;189.4300;188.8900;188.9680;854815
31;2023-11-17 12:00:00;AAPL;189.2450;189.4600;189.1860;189.4000;906165
32;2023-11-17 11:45:00;AAPL;189.0900;189.2700;188.9100;189.2450;815851
33;2023-11-17 11:30:00;AAPL;189.0600;189.1660;188.8200;189.0800;1022104
34;2023-11-17 11:15:00;AAPL;189.0500;189.1100;188.8700;189.0520;1181280
35;2023-11-17 11:00:00;AAPL;189.5700;189.6000;189.0060;189.0550;1512056
36;2023-11-17 10:45:00;AAPL;189.4900;189.7600;189.2600;189.5710;1207846
37;2023-11-17 10:30:00;AAPL;189.5850;189.6300;189.3000;189.4800;1661155
38;2023-11-17 10:15:00;AAPL;188.9100;189.6000;188.8300;189.5800;2720415
39;2023-11-17 10:00:00;AAPL;189.7700;189.7800;188.5700;188.9140;2732995
40;2023-11-17 09:45:00;AAPL;189.2350;190.0700;189.1700;189.7700;2261854
41;2023-11-17 09:30:00;AAPL;190.2500;190.3800;189.1400;189.2400;6202701
42;2023-11-17 09:15:00;AAPL;189.9490;190.4000;189.5200;190.2900;329421
43;2023-11-17 09:00:00;AAPL;189.9100;190.1900;189.7100;189.9350;301561
44;2023-11-17 08:45:00;AAPL;189.9650;190.1000;189.8700;189.9200;39188
45;2023-11-17 08:30:00;AAPL;190.2500;190.3400;189.8700;189.9700;61347
46;2023-11-17 08:15:00;AAPL;190.2300;190.3900;190.2000;190.2800;26051
47;2023-11-17 08:00:00;AAPL;190.1500;190.3070;189.6100;190.2800;65432
48;2023-11-17 07:45:00;AAPL;190.2400;190.2400;190.0400;190.0400;6874
49;2023-11-17 07:30:00;AAPL;190.0600;190.3000;190.0300;190.2400;13471
50;2023-11-17 07:15:00;AAPL;190.1300;190.1400;190.0000;190.0300;16448
51;2023-11-17 07:00:00;AAPL;190.0300;190.1900;190.0200;190.0900;17776
52;2023-11-17 06:45:00;AAPL;189.8200;190.0000;189.8200;190.0000;2224
53;2023-11-17 06:30:00;AAPL;190.0600;190.0800;189.8100;189.8200;6253
54;2023-11-17 06:15:00;AAPL;190.1100;190.1800;190.0500;190.1000;6409
55;2023-11-17 06:00:00;AAPL;190.1900;190.1900;190.1000;190.1400;4213
56;2023-11-17 05:45:00;AAPL;190.2500;190.2500;190.1300;190.1400;4244
57;2023-11-17 05:30:00;AAPL;190.2200;190.3200;190.1800;190.2500;11574
58;2023-11-17 05:15:00;AAPL;190.1500;190.2100;190.1100;190.2100;3633
59;2023-11-17 05:00:00;AAPL;190.0700;190.2000;190.0500;190.1900;2424
60;2023-11-17 04:45:00;AAPL;190.2100;190.2100;190.0500;190.0500;3165
61;2023-11-17 04:30:00;AAPL;190.1000;190.2200;190.0900;190.2000;6030
62;2023-11-17 04:15:00;AAPL;190.2900;190.2900;190.0400;190.1000;6461
63;2023-11-17 04:00:00;AAPL;190.4800;190.4800;189.5300;190.2800;13522
64;2023-11-16 19:45:00;AAPL;190.3200;190.5700;190.2100;190.5000;28418
65;2023-11-16 19:30:00;AAPL;190.2100;190.4500;190.1500;190.3200;7887
66;2023-11-16 19:15:00;AAPL;190.3650;190.4000;189.7100;190.2000;11448
67;2023-11-16 19:00:00;AAPL;190.0400;190.5500;190.0400;190.3500;22933
